id,cntry_name,area,capname,caplong,caplat,gwcode,gwsdate,gwsyear,gwsmonth,gwsday,gwedate,gweyear,gwemonth,gweday,en_cntry_name,fr_cntry_name,de_cntry_name,fi_cntry_name
61,Ecuador,341770,Quito,-78.5,-0.21667,130,31.12.1885 23:00:00,1886,1,1,27.01.1942 23:00:00,1942,1,28,Ecuador,Équateur,Ecuador,Ecuador
62,Egypt,1167780,Cairo,31.25,30.05,651,31.12.1885 23:00:00,1886,1,1,17.01.1899 23:00:00,1899,1,18,Egypt,Égypte,Ägypten,Egypti
63,El Salvador,20555.9,San Salvador,-89.2031,13.7086,92,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,El Salvador,El Salvador,El Salvador,El Salvador
64,Equatorial Guinea,26920.9,Malabo,8.7371,3.75041,411,31.12.1885 23:00:00,1886,1,1,25.06.1900 23:00:00,1900,6,26,Equatorial Guinea,Guinée équatoriale,Äquatorial-Guinea,Päiväntasaajan Guinea
65,Eritrea,19030,Assab,42.6986,12.9837,531,31.12.1885 23:00:00,1886,1,1,30.04.1889 23:00:00,1889,5,1,Eritrea,Érythrée,Eritrea,Eritrea
67,Ethiopia,280224,Addis Ababa,38.7751,9.01393,530,31.12.1885 23:00:00,1886,1,1,30.04.1889 23:00:00,1889,5,1,Ethiopia,Éthiopie,Äthiopien,Etiopia
68,Federated Malay States,68719.7,Kuala Lumpur,101.7,3.16667,821,30.06.1896 23:00:00,1896,7,1,08.03.1909 23:00:00,1909,3,9,Federated Malay States,Etats malais fédérés,Föderierte Malaiische Staaten,Malesian liittovaltio
69,Federation of Rhodesia and Nyasaland,1260270,Harare,31.0447,-17.8178,550,31.07.1953 23:00:00,1953,8,1,20.01.1964 23:00:00,1964,1,21,Federation of Rhodesia and Nyasaland,Fédération de Rhodésie et du Nyassaland,Föderation von Rhodesien und Njassaland,Rhodesian ja Niasalandin liitto
70,Federation of South Arabia,287228,Aden,45.0333,12.8,6801,03.04.1962 23:00:00,1962,4,4,28.11.1967 23:00:00,1967,11,29,Federation of South Arabia,Fédération d'Arabie du Sud,Föderation von Südarabien,Etelä-Arabian liitto
71,Fiji,18031.3,Suva,178.43,-18.1341,950,31.12.1885 23:00:00,1886,1,1,08.10.1970 23:00:00,1970,10,9,Fiji,Fidji,Fidschi,Fidži
72,Finland,388757,Helsinki,24.9342,60.1756,375,05.12.1917 23:00:00,1917,12,6,10.03.1940 23:00:00,1940,3,11,Finland,Finlande,Finnland,Suomi
73,France,532308,Paris,2.33333,48.8667,220,31.12.1885 23:00:00,1886,1,1,26.06.1919 23:00:00,1919,6,27,France,France,Frankreich,Ranska
74,French Guyana,83710.8,Cayenne,-52.33,4.93299,120,31.12.1885 23:00:00,1886,1,1,04.07.1930 23:00:00,1930,7,5,French Guyana,Guyane française,Französisch-Guyana,Ranskan Guyana
75,French Polynesia,12558.5,Pape'ete,-149.566,-17.5373,960,18.05.1903 23:00:00,1903,5,19,30.12.2019 23:00:00,2019,12,31,French Polynesia,Polynésie française,Französisch-Polynesien,Ranskan Polynesia
76,French West Africa,5621750,Saint-Louis,-16.51,16.02,430,15.06.1895 23:00:00,1895,6,16,12.06.1898 23:00:00,1898,6,13,French West Africa,Afrique occidentale française,Französisch-Westafrika,Ranskan Länsi-Afrikka
77,Gabon,260681,Libreville,9.45,0.38333,481,31.12.1885 23:00:00,1886,1,1,27.12.1903 23:00:00,1903,12,28,Gabon,Gabon,Gabun,Gabon
78,Gambia,10722.1,Banjul,-16.5917,13.4539,420,09.08.1889 23:00:00,1889,8,10,16.02.1965 23:00:00,1965,2,17,Gambia,Gambie,Gambia,Gambia
79,Gaza,373.395,Gaza,34.4668,31.5017,6511,13.05.1948 23:00:00,1948,5,14,08.06.1967 23:00:00,1967,6,9,Gaza,Gaza,Gaza,Gaza
80,Georgia,69957.4,T'bilisi,44.7908,41.725,372,05.09.1991 22:00:00,1991,9,6,30.12.2019 23:00:00,2019,12,31,Georgia,Géorgie,Georgien,Georgia
81,German Democratic Republic,109255,East Berlin,13.4027,52.5178,265,07.05.1945 23:00:00,1945,5,8,03.10.1949 23:00:00,1949,10,4,German Democratic Republic,République démocratique allemande,Deutsche Demokratische Republik,Saksan demokraattinen tasavalta
82,German Federal Republic,247663,Bonn,7.1,50.7333,260,07.05.1945 23:00:00,1945,5,8,19.09.1949 23:00:00,1949,9,20,German Federal Republic,République fédérale allemande,Deutsche Bundesrepublik,Saksan liittotasavalta
83,German Solomon Islands,16676.3,Kieta,155.624,-6.22972,9401,31.12.1885 23:00:00,1886,1,1,12.11.1899 23:00:00,1899,11,13,German Solomon Islands,Iles Salomon allemandes,Deutsch Salomonen,Saksan Salomonsaaret
84,German Togoland,6818.25,Baguida,1.31667,6.16667,460,31.12.1885 23:00:00,1886,1,1,30.12.1886 23:00:00,1886,12,31,German Togoland,Togoland allemand,Deutsch-Togoland,Saksan Togoland
85,Germany (Prussia),540112,Berlin,13.4,52.5167,255,31.12.1885 23:00:00,1886,1,1,26.06.1919 23:00:00,1919,6,27,Germany (Prussia),Allemagne (Prusse),Deutschland (Preußen),Saksa (Preussi)
86,Ghana,68325.2,Accra,-0.216667,5.55,452,31.12.1885 23:00:00,1886,1,1,29.11.1888 23:00:00,1888,11,30,Ghana,Ghana,Ghana,Ghana
87,Greece,63754.4,Athens,23.7333,37.9833,350,31.12.1885 23:00:00,1886,1,1,08.08.1913 23:00:00,1913,8,9,Greece,Grèce,Griechenland,Kreikka
88,Guadeloupe,1651.81,Basse-Terre,-61.72,15.9966,65,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Guadeloupe,Guadeloupe,Guadeloupe,Guadeloupe
89,Guatemala,109031,Guatemala City,-90.5269,14.6211,90,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Guatemala,Guatemala,Guatemala,Guatemala
90,Guinea,245068,Conakry,-13.6619,9.55133,438,31.12.1893 23:00:00,1894,1,1,30.09.1958 23:00:00,1958,10,1,Guinea,Guinée,Guinea,Guinea
91,Guinea-Bissau,33242,Bolama,-15.4828,11.5829,404,31.12.1885 23:00:00,1886,1,1,10.05.1886 23:00:00,1886,5,11,Guinea-Bissau,Guinée-Bissau,Guinea-Bissau,Guinea-Bissau
92,Guyana,210584,Georgetown,-58.1667,6.8,110,31.12.1885 23:00:00,1886,1,1,24.05.1966 23:00:00,1966,5,25,Guyana,Guyane,Guyana,Guyana
93,Haiti,27136.5,Port-au-Prince,-72.335,18.5392,41,31.12.1885 23:00:00,1886,1,1,03.07.1915 23:00:00,1915,7,4,Haiti,Haïti,Haiti,Haiti
94,Hawaii,16685.6,Honolulu,-157.856,21.3075,4,05.07.1898 23:00:00,1898,7,6,19.08.1959 23:00:00,1959,8,20,Hawaii,Hawaii,Hawaii,Havaiji
95,Herzegovina,10088.9,Mostar,17.8,43.3333,3462,31.12.1885 23:00:00,1886,1,1,05.10.1908 23:00:00,1908,10,6,Herzegovina,Herzégovine,Herzegowina,Hertsegovina
96,Honduras,112227,Tegucigalpa,-87.2167,14.1,91,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Honduras,Honduras,Honduras,Honduras
97,Hungary,323100,Budapest,19.0833,47.5,310,02.11.1918 23:00:00,1918,11,3,29.11.1918 23:00:00,1918,11,30,Hungary,Hongrie,Ungarn,Unkari
98,Iceland,102889,Reykjavik,-21.95,64.15,395,31.12.1885 23:00:00,1886,1,1,29.11.1918 23:00:00,1918,11,30,Iceland,Islande,Island,Islanti
99,India,4652720,Calcutta,88.3247,22.495,750,31.12.1885 23:00:00,1886,1,1,10.11.1893 23:00:00,1893,11,11,India,Inde,Indien,Intia
100,Indonesia,1877240,Jakarta,106.829,-6.17444,850,31.12.1885 23:00:00,1886,1,1,18.06.1889 23:00:00,1889,6,19,Indonesia,Indonésie,Indonesien,Indonesia
101,Inini,70642.8,Saint-Elie,-53.2764,4.8227,1201,05.07.1930 23:00:00,1930,7,6,17.03.1946 23:00:00,1946,3,18,Inini,Inini,Inini,Inini
102,Iran (Persia),1621540,Tehran,51.4244,35.6719,630,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Iran (Persia),Iran (Perse),Iran (Persien),Iran (Persia)
103,Iraq,274750,Baghdad,44.3939,33.3386,645,25.04.1920 23:00:00,1920,4,26,22.12.1920 23:00:00,1920,12,23,Iraq,Irak,Irak,Irak
104,Ireland,69579.4,Dublin,-6.24889,53.3331,205,05.12.1921 23:00:00,1921,12,6,30.12.2019 23:00:00,2019,12,31,Ireland,Irlande,Irland,Irlanti
105,Israel,20719.1,Jerusalem,35.2066,31.7784,666,13.05.1948 23:00:00,1948,5,14,08.06.1967 23:00:00,1967,6,9,Israel,Israël,Israel,Israel
106,Italian Somaliland,370343,Mogadishu,45.3182,2.04693,5200,18.11.1889 23:00:00,1889,11,19,18.03.1897 23:00:00,1897,3,19,Italian Somaliland,Somaliland italien,Italienisches Somaliland,Italian Somalimaa
107,Italy/Sardinia,284653,Rome,12.4833,41.9,325,31.12.1885 23:00:00,1886,1,1,08.09.1919 23:00:00,1919,9,9,Italy/Sardinia,Italie/Sardaigne,Italien/Sardinien,Italia/Sardinia
108,Jamaica,11027.5,Kingston,-76.8,18,51,31.12.1885 23:00:00,1886,1,1,04.08.1962 23:00:00,1962,8,5,Jamaica,Jamaïque,Jamaika,Jamaika
109,Jammu and Kashmir,105844,Srinagar,74.7973,34.0837,7506,14.08.1947 23:00:00,1947,8,15,03.01.1949 23:00:00,1949,1,4,Jammu and Kashmir,Jammu et Cachemire,Jammu und Kaschmir,Jammu ja Kashmir
110,Japan,370951,Tokyo,139.751,35.685,740,31.12.1885 23:00:00,1886,1,1,30.12.2019 23:00:00,2019,12,31,Japan,Japon,Japan,Japani
111,Jordan,45147.9,Amman,35.9333,31.95,663,25.04.1920 23:00:00,1920,4,26,22.12.1920 23:00:00,1920,12,23,Jordan,Jordanie,Jordanien,Jordania
112,Kamerun,510559,Duala,9.70999,4.06041,470,31.12.1885 23:00:00,1886,1,1,13.03.1894 23:00:00,1894,3,14,Kamerun,Kamerun,Kamerun,Kamerun
113,"Kashmir (North, Azad)",81688.6,Gilgit,74.4643,35.8819,7708,14.08.1947 23:00:00,1947,8,15,03.01.1949 23:00:00,1949,1,4,"Kashmir (North, Azad)","Cachemire (Nord, Azad)","Kaschmir (Nord, Azad)","Kashmir (pohjoinen, Azad)"
114,Kazakhstan,2723030,Almaty,76.915,43.325,705,25.12.1991 23:00:00,1991,12,26,08.12.1997 23:00:00,1997,12,9,Kazakhstan,Kazakhstan,Kasachstan,Kazakstan
115,Kenya,469658,Mombasa,39.6996,-4.03688,501,14.10.1888 23:00:00,1888,10,15,22.03.1891 23:00:00,1891,3,23,Kenya,Kenya,Kenia,Kenia
116,Khiva,101600,Khiva,60.3557,41.3911,7030,31.12.1885 23:00:00,1886,1,1,31.01.1920 23:00:00,1920,2,1,Khiva,Khiva,Chiwa,Khiva
117,Korea,219399,Seoul,127,37.5664,730,31.12.1885 23:00:00,1886,1,1,21.08.1910 23:00:00,1910,8,22,Korea,Corée,Korea,Korea
118,"Korea, People''s Republic of",122204,Pyongyang,125.755,39.0194,731,14.08.1945 23:00:00,1945,8,15,07.09.1948 23:00:00,1948,9,8,"Korea, People''s Republic of","Corée, République populaire de","Korea, Volksrepublik",Korean kansantasavalta
119,"Korea, Republic of",97195.9,Seoul,127,37.5664,732,14.08.1945 23:00:00,1945,8,15,13.08.1948 23:00:00,1948,8,14,"Korea, Republic of","Corée, République de","Korea, Republik",Korean tasavalta
120,Kosovo,10737.1,Pristina,21.1667,42.6667,347,19.02.2008 23:00:00,2008,2,20,30.12.2019 23:00:00,2019,12,31,Kosovo,Kosovo,Kosovo,Kosovo
121,Kuwait,16750.8,Kuwait,47.9783,29.3697,690,18.06.1961 23:00:00,1961,6,19,30.12.2019 23:00:00,2019,12,31,Kuwait,Koweït,Kuwait,Kuwait
122,Kyrgyz Republic,199565,Bishkek,74.6003,42.8731,703,31.08.1991 22:00:00,1991,9,1,30.12.2019 23:00:00,2019,12,31,Kyrgyz Republic,République kirghize,Kirgisische Republik,Kirgisian tasavalta
123,Lagos,71584.9,Lagos,3.38587,6.50722,4781,31.12.1885 23:00:00,1886,1,1,14.02.1906 23:00:00,1906,2,15,Lagos,Lagos,Lagos,Lagos
124,Laos,229905,Vientiane,102.6,17.9667,812,02.10.1893 23:00:00,1893,10,3,13.01.1896 23:00:00,1896,1,14,Laos,Laos,Laos,Laos
